Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMB,Miền Bắc,2022-09-18T21:09:48.778304900,14894,36603,09941-58304,25494-16326-17346-02170-77335-45416,2580-6226-0074-0880,6188-2187-0423-0407-4042-0222,781-007-337,05-00-23-64,
XSMN,Đà Lạt,2022-09-18T21:09:48.778304900,553647,43856,19556,10184-68940,88400-44211-06564-75874-49375-76713-68656,2339,0516-4211-1889,838,15
XSMN,Kiên Giang,2022-09-18T21:09:48.778304900,452295,10876,40627,22161-98822,15823-56475-23302-17054-38507-74239-63897,4640,1204-0292-8811,222,21
XSMN,Tiền Giang,2022-09-18T21:09:48.778304900,531324,08366,96589,63028-16676,10196-37956-42132-12797-02529-60403-73236,8288,4237-0897-9806,063,36
XSMT,Khánh Hòa,2022-09-18T21:09:48.778304900,507708,74090,56018,57347-73302,50127-28746-51379-10643-71587-83894-61033,0228,7989-1248-2376,856,09
XSMT,Kon Tum,2022-09-18T21:09:48.778304900,936186,43330,34165,50558-24645,45737-24475-43411-72599-31175-71375-87221,2434,5138-2905-2572,135,67
XSMT,Thừa Thiên Huế,2022-09-18T21:09:48.778304900,414556,46612,55533,95087-94247,40764-19152-44469-59646-06540-96138-96285,9118,6414-6777-9907,340,58
