Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMB,Miền Bắc,2022-09-19T21:09:39.214503800,62198,45485,76774-74253,18739-41960-51934-31194-39042-78008,2546-5002-0826-2950,7124-9884-5639-3108-6204-5861,927-362-456,95-77-72-22,
XSMN,Cà Mau,2022-09-19T21:09:39.214503800,586883,01309,61062,61869-02809,19090-74081-58891-48451-61723-29426-79006,7334,0780-5172-1132,284,25
XSMN,Đồng Tháp,2022-09-19T21:09:39.214503800,870842,40573,87283,60332-14459,73919-57480-80781-70628-75964-73322-53393,5876,0892-6535-3296,727,07
XSMN,Hồ Chí Minh,2022-09-19T21:09:39.214503800,275622,04115,18626,82372-18895,23953-77945-22836-22716-66876-94644-66426,6780,9773-2242-0466,814,06
XSMT,Phú Yên,2022-09-19T21:09:39.214503800,128273,33901,82063,18716-43747,06716-55256-51633-38841-30527-14003-96922,7254,8852-9240-3440,305,03
XSMT,Thừa Thiên Huế,2022-09-19T21:09:39.214503800,016494,15174,88803,28595-04057,17878-81211-39958-82857-99176-91703-40693,6016,9666-3933-1369,980,98
