Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMB,Miền Bắc,2022-09-20T21:08:16.328367600,50221,51429,03694-87656,84226-05736-37676-53627-63292-57192,9164-3207-6899-0093,0799-2165-7646-4794-0908-0008,818-799-831,71-10-04-40,
XSMN,Bạc Liêu,2022-09-20T21:08:16.328367600,649428,14088,47956,22044-49759,83647-57238-22626-76002-36737-48572-54694,7338,5005-6235-8589,829,06
XSMN,Bến Tre,2022-09-20T21:08:16.328367600,308925,16629,08187,72872-68921,51930-26005-70605-82874-10420-10971-39039,4237,4362-3664-6479,199,79
XSMN,Vũng Tàu,2022-09-20T21:08:16.328367600,108232,97255,66182,24251-80141,21320-23033-75106-31773-23378-46203-41655,2992,3731-7835-2639,091,86
XSMT,Đắc Lắc,2022-09-20T21:08:16.328367600,938258,60011,88064,08628-33939,14288-26566-44967-47268-40181-44459-07585,7256,3303-0359-8550,743,07
XSMT,Quảng Nam,2022-09-20T21:08:16.328367600,226231,40821,77285,28159-44916,65026-21637-05965-24946-85762-47939-40048,1625,3351-4070-7028,595,08
