Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMT,Khánh Hòa,2022-09-18T18:00,507708,74090,56018,57347-73302,50127-28746-51379-10643-71587-83894-61033,0228,7989-1248-2376,856,09
XSMT,Kon Tum,2022-09-18T18:00,936186,43330,34165,50558-24645,45737-24475-43411-72599-31175-71375-87221,2434,5138-2905-2572,135,67
XSMT,Thừa Thiên Huế,2022-09-18T18:00,414556,46612,55533,95087-94247,40764-19152-44469-59646-06540-96138-96285,9118,6414-6777-9907,340,58
