Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMN,Cà Mau,19-09-2022,586883,01309,61062,61869-02809,19090-74081-58891-48451-61723-29426-79006,7334,0780-5172-1132,284,25
XSMN,Đồng Tháp,19-09-2022,870842,40573,87283,60332-14459,73919-57480-80781-70628-75964-73322-53393,5876,0892-6535-3296,727,07
XSMN,Hồ Chí Minh,19-09-2022,275622,04115,18626,82372-18895,23953-77945-22836-22716-66876-94644-66426,6780,9773-2242-0466,814,06
