Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMB,Miền Bắc,2022-09-16T21:10:17.261205800,48715,90716,56928-41080,43187-69772-54529-67275-81565-74877,6222-2420-3750-8550,6817-6756-4721-1214-2847-5145,847-449-541,90-89-86-84,
XSMN,Bình Dương,2022-09-16T21:10:17.261205800,893906,96640,35557,44864-66941,09674-46476-53461-08650-74495-40785-36767,2108,1727-8527-7698,826,28
XSMN,Trà Vinh,2022-09-16T21:10:17.261205800,133100,21957,14367,44931-71089,15631-44590-56831-89011-45562-08897-81892,5373,5477-0377-7029,970,04
XSMN,Vĩnh Long,2022-09-16T21:10:17.261205800,143375,26794,63449,16018-78388,47095-82103-60806-83259-52070-73904-66874,9145,3242-4071-3672,208,64
XSMT,Gia Lai,2022-09-16T21:10:17.261205800,785813,41425,98894,03975-70847,64562-90084-36162-02130-48062-67051-84684,9892,6295-8262-6597,907,57
XSMT,Ninh Thuận,2022-09-16T21:10:17.261205800,812452,69533,82092,09766-39001,00069-00159-44475-00917-84601-00517-11977,0374,6858-7938-6232,314,76
