Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMT,Đắc Lắc,2022-09-20T18:00,938258,60011,88064,08628-33939,14288-26566-44967-47268-40181-44459-07585,7256,3303-0359-8550,743,07
XSMT,Quảng Nam,2022-09-20T18:00,226231,40821,77285,28159-44916,65026-21637-05965-24946-85762-47939-40048,1625,3351-4070-7028,595,08
