Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMB,Miền Bắc,2022-09-21T21:08:07.436774600,44823,04642,28539-90167,57514-55801-03094-14585-30266-70855,7785-6343-5951-3385,5136-4603-1640-7743-5004-9439,380-518-321,05-26-16-94,
XSMN,Cần Thơ,2022-09-21T21:08:07.436774600,619143,34832,77878,96982-88523,55416-85871-60953-37084-07079-30790-56631,8330,2489-3754-7758,949,74
XSMN,Đồng Nai,2022-09-21T21:08:07.436774600,600470,59793,12905,78439-85049,70968-62032-18100-05136-90216-33070-81725,8909,8723-8557-8502,831,08
XSMN,Sóc Trăng,2022-09-21T21:08:07.436774600,446354,33219,68950,65629-10790,13369-27049-04393-18622-80559-39958-44333,6656,0380-7100-0629,168,88
XSMT,Đà Nẵng,2022-09-21T21:08:07.436774600,506766,47950,51374,23083-99178,66419-77796-22338-96902-07076-79069-95467,2458,8983-2562-0211,072,60
XSMT,Khánh Hòa,2022-09-21T21:08:07.436774600,984745,34843,13231,42910-19274,15148-31172-60499-71235-92967-45211-30648,2008,5583-4543-1815,050,13
