Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8,Info Prize
XSMT,Bình Định,2022-09-15T18:00,532612,57815,87567,10132-35319,50992-29665-60633-17933-10620-75704-73797,0764,8921-6147-7397,237,31
XSMT,Quảng Bình,2022-09-15T18:00,584855,89520,50109,84706-77896,89200-45821-35497-61238-49920-24073-56851,2059,0038-0822-8335,618,24
XSMT,Quảng Trị,2022-09-15T18:00,325861,68256,13770,96883-84651,44289-80227-08462-65289-43925-48863-60052,2314,1267-6310-3489,045,56
