Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
xsmn,Bạc Liêu,20-09-2022,649428,14088,47956,22044-49759,83647-57238-22626-76002-36737-48572-54694,7338,5005-6235-8589,829,06
xsmn,Bến Tre,20-09-2022,308925,16629,08187,72872-68921,51930-26005-70605-82874-10420-10971-39039,4237,4362-3664-6479,199,79
xsmn,Vũng Tàu,20-09-2022,108232,97255,66182,24251-80141,21320-23033-75106-31773-23378-46203-41655,2992,3731-7835-2639,091,86
