Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
xsmn,Đà Lạt,18-09-2022,553647,43856,19556,10184-68940,88400-44211-06564-75874-49375-76713-68656,2339,0516-4211-1889,838,15
xsmn,Kiên Giang,18-09-2022,452295,10876,40627,22161-98822,15823-56475-23302-17054-38507-74239-63897,4640,1204-0292-8811,222,21
xsmn,Tiền Giang,18-09-2022,531324,08366,96589,63028-16676,10196-37956-42132-12797-02529-60403-73236,8288,4237-0897-9806,063,36
