Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMN,Bình Phước,17-09-2022,250607,18399,66964,11682-71256,07181-36705-81107-74060-36127-98909-80348,5163,2030-6177-2859,119,63
XSMN,Hậu Giang,17-09-2022,495941,19904,67916,52934-28031,85969-28702-58168-58984-58462-85498-74290,1476,6758-7207-2934,640,79
XSMN,Hồ Chí Minh,17-09-2022,517935,88510,85716,15730-15195,82235-67754-38740-19692-20482-72453-50908,9863,4986-3798-4184,542,89
XSMN,Long An,17-09-2022,794565,84103,24401,42993-65540,45493-73314-48826-60308-13334-58530-61834,5164,9364-7699-5321,685,86
