Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMB,Miền Bắc,2022-09-22T21:07:36.296217700,76777,14235,67639-39627,11078-35566-60396-76531-52810-77165,1992-5460-0527-7755,5119-6943-5185-6519-4917-0751,495-283-089,37-75-66-01,
XSMN,An Giang,2022-09-22T21:07:36.296217700,909972,56474,67372,36337-88769,30355-60689-80331-52481-26232-93493-12960,8536,3312-2543-6133,072,01
XSMN,Bình Thuận,2022-09-22T21:07:36.296217700,734949,33944,04070,84443-71484,04771-65767-27214-52345-73108-07755-50637,2990,8799-2069-8725,175,13
XSMN,Tây Ninh,2022-09-22T21:07:36.296217700,909972,56474,67372,36337-88769,30355-60689-80331-52481-26232-93493-12960,8536,3312-2543-6133,072,01
XSMT,Bình Định,2022-09-22T21:07:36.296217700,337142,76538,96695,28185-31491,16729-05541-55616-17285-95433-70557-75716,1842,4131-8612-2352,944,18
XSMT,Quảng Bình,2022-09-22T21:07:36.296217700,722904,05401,74936,28368-56703,33097-10375-06417-63732-83103-83402-86302,5832,4108-1143-4199,860,00
XSMT,Quảng Trị,2022-09-22T21:07:36.296217700,671066,05518,06140,78675-28914,65693-43307-42037-49748-09639-24339-09348,7663,8134-4291-3920,860,16
