Company,Province,Issue Date,Prize 0,Prize 1,Prize 2,Prize 3,Prize 4,Prize 5,Prize 6,Prize 7,Prize 8
XSMB,Miền Bắc,2022-09-17T21:09:57.614968300,55890,82995,85254-99868,74363-31000-98734-25095-92211-67172,5992-5247-0426-6302,1049-1972-3323-0748-3642-0676,084-250-098,65-71-29-25,
XSMN,Bình Phước,2022-09-17T21:09:57.614968300,250607,18399,66964,11682-71256,07181-36705-81107-74060-36127-98909-80348,5163,2030-6177-2859,119,63
XSMN,Hậu Giang,2022-09-17T21:09:57.614968300,495941,19904,67916,52934-28031,85969-28702-58168-58984-58462-85498-74290,1476,6758-7207-2934,640,79
XSMN,Hồ Chí Minh,2022-09-17T21:09:57.614968300,517935,88510,85716,15730-15195,82235-67754-38740-19692-20482-72453-50908,9863,4986-3798-4184,542,89
XSMN,Long An,2022-09-17T21:09:57.614968300,794565,84103,24401,42993-65540,45493-73314-48826-60308-13334-58530-61834,5164,9364-7699-5321,685,86
XSMT,Đà Nẵng,2022-09-17T21:09:57.614968300,853656,44859,33062,18618-60712,14412-38674-56641-86020-70830-49592-74720,8075,0017-3578-5113,459,21
XSMT,Đắc Nông,2022-09-17T21:09:57.614968300,137609,09755,07148,36802-99003,89573-72377-09376-15572-10083-00810-42816,1687,9168-1478-7332,166,57
XSMT,Quảng Ngãi,2022-09-17T21:09:57.614968300,800859,86405,90092,77064-03488,22573-68344-63939-99417-15979-55910-79604,6838,7469-3414-2581,456,53
